Link,Letter status,School,Program,Deadline,App_Status,,,,
63,,,,1,6,Total,,,
https://explorecsr.cs.brown.edu/ https://research.google/outreach/explore-csr/,x,Brown,exploreCSR,10/1/2023,x,senior eligible/remote/semester-long (Jan-May),,,
https://www.station1.org/sff,x,STATION1,The Station1 Frontiers Fellowship (SFF),15/1/2023,x,graduating seniors are eligible,,,
https://www.auckland.ac.nz/en/study/scholarships-and-awards/scholarship-types/undergraduate-scholarships/summer-research-scholarships.html,x,AUT - Auckland,Summer Research Scholarships,x,x,,,,
https://www.microsoft.com/en-us/research/academic-program/undergraduate-research-internship-computing/,x,Mircrosoft,Undergraduate Research Internship – Computing,x,rejected,,,,
https://jobs.careers.microsoft.com/global/en/job/1602350/Applied-Scientist%3A-Internship-Opportunities,x,Mircrosoft,Applied Scientist: Internship Opportunities,x,x,Job number 1602350,,,
https://eee.epfl.ch/apply/,x,École polytechnique fédérale de Lausanne (EPFL),E3 Program,x,x,,,,
https://summer.epfl.ch/,x,École polytechnique fédérale de Lausanne (EPFL),Summer@EPFL,x,rejected,,,,
https://inf.ethz.ch/studies/summer-research-fellowship.html,x,ETH Zurich,ETH Student Summer Research Fellowship,x,x,,,,
https://thinkswiss.org/,x,Think Swiss,ThinkSwiss,x,x,Must find host Prof myself,,,
https://strobe.colorado.edu/education-outreach/undergraduate/,x,many universities,Summer Undergraduate Research Scholars Program (SURS) via STROBE,x,,,,,
https://autonomy.unm.edu/siri/index.html,x,Uni of New Mexico,SIRI,x,rejected,,,,
https://www.rwth-aachen.de/cms/root/studium/Im-Studium/Angebote-fuer-Studierende/UROP/~wmy/UROP-INternational/lidx/1/,x,RWTH Aachen's research institutes,UROP International,x,x,,,,
https://oge.mit.edu/graddiversity/msrp/,x,MIT,MIT Summer Research Program,x,rejected,,,,
https://labcit.ligo.caltech.edu/LIGO_web/students/SURF/applicants-info,x,Caltech,Caltech LIGO SURF,x,x,,,,
https://riss.ri.cmu.edu/apply/,x,CMU,Robotics and Intelligent Systems Scholars,x,rejected,,,,
https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=50015295,x,DAAD,Working Internships in Science and Engineering (WISE),x,x,,,,
https://www.mitacs.ca/en/programs/globalink/globalink-research-internship,x,MITACS,Globalink Research Internship,x,x,,,,
https://www.lanl.gov/projects/national-security-education-center/information-science-technology/summer-schools/applied-machine-learning/index.php,x,The Information Science & Technology Institute (ISTI),Applied Machine Learning Summer Program 2022,x,rejected,,,,
https://internships.fnal.gov/lee-teng-undergraduate-internship/,x,Fermilab,Lee Teng Undergraduate Internship,x,submitted,,,,
https://www.engineering.columbia.edu/columbia-amazon-summer-undergraduate-research-experience-program,x,Columbia University and Amazon,Summer Undergraduate Research Experience (SURE) Program,x,rejected,us citizen,,,
