School/Institute,Location,Start date,End date,Application deadline,Topic(s),Link(s)
ASU (MTBI),"Tempe, AZ",June 9,July 31,January 31,Quantitative Research for the Life and Social Sciences (QRLSS),https://mtbi.asu.edu/SummerProgram
ASU / Scottsdale Community College,"Tempe, AZ",June 1,July 23,March 4,"weather and climate forecasting and environmental fluid dynamics; the mathematics of imaging; mathematical models of biological processes, including brain tumors, cellular transport, and cell networks; stochastic processes and mathematical finance; and the dynamics of networks",https://math.asu.edu/AM2REU
Auburn University,"Auburn, AL",June 6,July 31,February 26,Algebra and discrete mathematics,https://cws.auburn.edu/apspi/pm/mathreu
Baruch College (CUNY),"New York, NY",,,,"combinatorics, probability, and related topics","https://geometrynyc.wixsite.com/home/combinatorics-reu
https://www.mathprograms.org/db/programs/1007"
Boston University,"Boston, MA",June 2,July 28,March 1,"Pattern formation, differential equations, applied dynamical systems",http://math.bu.edu/people/rgoh/research/REU.html
"California State University, San Bernardino","San Bernardino, CA",June 21,August 31,February 11,Geometry and knot theory,https://www.math.csusb.edu/reu/index.html
Carnegie Mellon,"Pittsburgh, PA",June 7,July 30,March 8,Summer Undergraduate Applied Mathematics Institute (SUAMI),"https://www.cmu.edu/math/undergrad/suami/index.html
https://www.mathprograms.org/db/programs/1078"
Clemson University (pREU),"Clemson, SC",May 17,June 18,February 15,"students explore concepts from linear algebra and abstract algebra (especially finite fields) as well as selected topics from algebraic geometry in the context of problems in coding theory, data storage, or cryptography.
[Aimed at students early in their academic studies.]","https://www.math.clemson.edu/ccnt/undergraduate/preu/
https://www.mathprograms.org/db/programs/1025"
Clemson University (REU),"Clemson, SC",May 17,July 9,February 15,"techniques and problems from Coding Theory, Cryptography and Number Theory","http://www.math.clemson.edu/ccnt/undergraduate/reu/
https://www.mathprograms.org/db/programs/1025"
Columbus State University,"Columbus, GA",May 26,July 28,March 12,"problems and issues related to security, privacy, authentication, data integrity, and malware for Mobile Sensing and the Internet of Things",https://www.reucsu.org/
Cornell (SPUR),"Ithaca, NY",June 7,July 30,February 27,Theoretical aspects of deep learning; Loop groups and Verlinde algebra,"https://math.cornell.edu/undergraduate-research
https://www.mathprograms.org/db/programs/1075"
EDGE,"Minneapolis, MN",June 2,June 30,March12,for women transitioning to PhD programs,"https://www.edgeforwomen.org/summer-session/
https://www.mathprograms.org/db/programs/1031"
Emory,"Atlanta, GA",May 24/June 14,July 30,March 1,Computational Methods for Data Science,http://www.mathcs.emory.edu/site/scicomp/REURET/
ETSU,"Ponce, Puerto Rico",June 7,August 6,March 20,"Combinatorics, probability, and algebraic coding theory",https://www.etsu.edu/cas/math/activities/reu.php
Fairfield University,"Fairfield, CT",May 31,July 16,April 15,"Graph Theory, Combinatorics, Number Theory",https://www.mathprograms.org/db/programs/1116
Fields Institute,"Toronto, CA",July 2,August 27,January 24,Optimizing small arithmetic circuits; The localization game played on graphs; The space of signed distance fields; Eigenfunctions and the symmetry conjecture; Safe model-based reinforcement learning; Trace formulae for graphs; Recurrent neural networks; Quantum walks on graphs; Quantitative estimates in matrix theory,http://www.fields.utoronto.ca/activities/21-22/2021-FUSRP
Georgia State University,"Atlanta, GA",,,March 15,Modern Approaches to Modeling and Predicting Bridge Instabilities,https://www.mathprograms.org/db/programs/1091
Georgia Tech,"Atlanta, GA",June ??,July ??,February 15,"projects in machine learning, social justice, data science for sociology, and other areas","https://math.gatech.edu/undergraduate-research
https://www.mathprograms.org/db/programs/1072"
Hobart and William Smith Colleges,"Geneva, NY",June 2,August 3,February 12,"Algebra, Graph Theory, Neuron Networks and Mathematical Virology",http://math.hws.edu/REU/index.html
IAS; Women and Mathematics,"Princeton, NJ",May 22,May 28,February 17,Representation theory; categories & combinatorics,"https://www.ias.edu/math/wam/2021
https://www.mathprograms.org/db/programs/1004"
ICERM,"Providence, RI",June 14,August 13,February 14,Computational polygonal billiards,"https://icerm.brown.edu/summerug/2021/
https://www.mathprograms.org/db/programs/1006"
IPAM RIPS,"Los Angeles, CA",June 21,August 20,February 12,Research problems in industry,"http://www.ipam.ucla.edu/programs/student-research-programs/research-in-industrial-projects-for-students-rips-2021/
https://www.mathprograms.org/db/programs/1009"
IPAM RIPS Singapore,Singapore,May 31,July 30,February 12,Research problems in industry,http://www.ipam.ucla.edu/programs/student-research-programs/research-in-industrial-projects-for-students-rips-2021-singapore/
