School/Institute,Location,Start date,End date,Application deadline,Topic(s) / Notes,Link,Date added to this list
MathILy-EST (Bryn Mawr College),"Bryn Mawr, PA",Jun 11,Aug 5,Apr 5,incidence geometry over finite fields,http://www.mathily.org/mathilyest/,2022/10/31
Texas A&M University-Commerce,"Commerce, TX",Jun 4,Jul 29,Apr 7,"Theoretical and Application Driven Mathematics (TADM) REU program
Area difference under complex analytic mappings; Graph-based quantum error-correcting codes (Mentor Padmapani Seneviratne); Stability, boundedness & applications of differential equations","https://inside.tamuc.edu/academics/colleges/scienceEngineeringAgriculture/departments/mathematics/reu/default.aspx
https://www.mathprograms.org/db/programs/1464",2023/3/13
Montana State University,"Bozeman, MT",May 29,Aug 4,Apr 10,Algorithms and Optimization for Sustainability and Biology,"https://www.cs.montana.edu/REU/
https://etap.nsf.gov/award/1090/opportunity/1222",2023/3/5
Georgia Tech,"Atlanta, GA",July 31,Aug 4,Apr 14,Cell to Datum: How We Interpret Biological Structures Using Mathematics,https://www.mathprograms.org/db/programs/1469,2023/4/4
University of Puerto Rico in Ponce,"Ponce, PR",June,July,Apr 15,"Combinatorics and Coding Theory in the Tropics / Combinatoria y Teoría de Códigos en el Trópico
Coding theory, combinatorics, graph theory, permutation patterns, locally recoverable codes, DNA barcoding, codes from finite geometries and others
Teoría de códigos, combinatoria, teoría de grafos, patrones en permutaciones, códigos de recuperación local, identificadores de DNA, códigos de geometrías finitas y otros",https://etap.nsf.gov/award/1058/opportunity/1191,2023/3/5
"Wake Forest University
American Institute of Mathematics","(online) +
Winston-Salem, NC",Jul 10,Aug 5,Apr 15,Mathematics Climate Research Network summer school and research program,"https://aimath.org/workshops/upcoming/mcrn2023/
https://www.mathprograms.org/db/programs/1461",2023/3/5
Kansas State University (SUMaR),"Manhattan, KS",Jun 5,Jul 30,Apr 16,"We expect to continue offering projects in knot theory or related, in PDEs, number theory with possible ramifications into analysis and geometry, and in number theory.",https://www.math.ksu.edu/research/reu/,2023/2/19
UC Riverside,"Riverside, CA",Jun 25,Aug 20,Apr 20,Experience the Full Data Science Pipeline through Research and Practice,"https://sites.google.com/ucr.edu/ucr-ds-reu
https://etap.nsf.gov/award/759/opportunity/831",2023/3/5
Bernoulli Center,"Lausanne, Switzerland",Jul 24,Jul 28,Apr 23,Young researchers in mathematics program,https://bernoulli.epfl.ch/young/,2022/10/31
,,,,,,,
,,,,,,,
NSA Summer program,Varies,Varies,Varies,Oct 31,Must be US Citizen and able to get security clearance. Multiple different programs open to undergraduates.,https://www.intelligencecareers.gov/nsa/students-and-internships,2022/9/9
Boise State University,"Boise, ID",May 30,Jul 28,Dec 30,Data-Driven security,https://sites.google.com/boisestate.edu/undergrad-data-driven/home,2022/11/9
University of Waterloo,"Waterloo, ON",May 29,Jun 9,Jan 3,"Undergraduate School on Experimental Quantum Information Processing
Can take international students",https://uwaterloo.ca/institute-for-quantum-computing/useqip,2022/9/9
NYU Center for Data Science,Remotely,Jun 12,Aug 19,Jan 9,Data science,https://cds.nyu.edu/curp/,2022/11/13
Department of Energy,Varies,???,???,Jan 10,"SULI (Science Undergraduate Laboratory Internships)
Can take graduating seniors",https://science.osti.gov/wdts/suli,2022/11/6
Santa Fe Institute,"Santa Fe, NM",Jun 4,Aug 12,Jan 11,"Complexity. Students learn how to combine theory, methods, and data from the physical, natural, and social sciences to ask big questions about real-world complex systems using the rigorous methods employed at SFI.",https://santafe.edu/engage/learn/programs/undergraduate-complexity-research,2022/10/31
Boston University,"Boston, MA",Jun 5,Aug 11,mid January,computational and mathematical fundamentals of bioinformatics analysis ,https://sites.bu.edu/britereu/,2022/10/31
Fields Institute ,"Toronto, Ontario",Jun 12,Aug 11,Jan 23,"On Field Extensions of Nonarchimedean Local Fields and Local Langlands Correspondence; Active Human-Centric Evaluations in NLP Interpretability; Statistical and Machine Learning and Applications; Spectral graph invariants and random walks on graphs; Bootstrapping the eigenvalues of discrete hyperbolic surfaces; Random multiplicative functions over function fields; (more coming ....)
Can take international students",http://www.fields.utoronto.ca/activities/23-24/2023-FUSRP,2022/10/31
Northwestern University,"Evanston, IL",Jun 19,Aug 12,Jan 23,Quantitative biology,https://www.quantitativebiology.northwestern.edu/opportunities/undergraduate-summer-research/,2022/12/13
Wake Forest University,"Winston-Salem, NC",May 29,Aug 4,Jan 25,Biomedical Engineering and Informatics Summer Research Program,https://school.wakehealth.edu/departments/biomedical-engineering/center-for-injury-biomechanics/summer-research-opportunities,2023/1/10
University of Rochester,"Rochester, NY",May 23,Jul 28,Jan 29,"Computational Methods for Understanding Music, Media, and Minds",https://www.sas.rochester.edu/dsc/undergraduate/reu.html,2022/10/31
UC Berkeley,"Berkeley, CA",Jun 5,Aug 5,Jan 29,Summer Undergraduate Program in Engineering Research at Berkeley-Responsible Artificial Intelligence (SUPERB-RAI),https://eecs.berkeley.edu/resources/undergrads/research/superb,2023/1/10
"California State University, San Bernardino","San Bernardino, CA",May 30,Jul 21,Jan 30,Knot Theory and Differential Geometry,https://sites.google.com/csusb.edu/reuatcsusb/home,2022/10/31
Clarkson University,"Potsdam, NY",May 21,Jul 28,Jan 30,High performance computing,http://reu-hpc.clarkson.edu/,2022/12/1
Aalto University,"Helsinki, Finland",June,August,Jan 31,"Formalization (using lean) of aspects of probability theory or analysis, matrix theory, machine learning, ...
Projects run for 12 weeks, and is flexible within each research group
Can work with international students",https://www.aalto.fi/en/aalto-science-institute-asci/aalto-science-institute-international-summer-research-programme,2023/1/10
DIMACS / Rutgers,"New Brunswick, NJ",May 30,Jul 29,Jan 31,"Communication Complexity of (Approximating) Graph Coloring; Hardness of Approximating Clustering objectives; Algorithms for Streaming Tournaments; Differential privacy and data visualization; Genome folding and function: from DNA base pairs to nucleosome arrays and chromosomes; Genomic data-guided computational modeling of cancer; Epigenetic dysregulation of human cancer; Deep Learning for Quality Prediction in Metal Additive Manufacturing; Intelligent sampling for physics-informed multifidelity learning; Research in Nonparametric Testing and Estimation; Optimization, learning and high-dimensional macroscopic limits; Distance-Preserving Graph Compression / Composable Metric Compression; Structural Exploration of Multi-Robot Path Planning for Improving SOTA Algorithms; Truth Learning in a Social Setting; Criminal Enterprises & Social Media; Projects in Pure Math; Concordance Invariants of Satellite Knots; Aspects of Lagrangian Fillings; Simplifying explicit equations of fake projective planes; Correlation inequalities in Algebra, Combinatorics and Probability; Polyhedral geometry of surfaces",https://reu.dimacs.rutgers.edu/,2022/12/13
Hunter College (CUNY),"New York, NY",May 29,Jul 21,Jan 31,immersive visualization and virtual/augmented/mixed reality,https://wolex.com/reu/,2022/12/25
Northwestern University,"Evanston, IL",Jun 19,Aug 25,Jan 31,"Synthetic Biology: research at the interface of biology, engineering, chemistry, math and physics",https://syntheticbiology.northwestern.edu/education/nsf-undergraduate-research-experience-reu.html,2023/1/10
Park City Math Institute,"Park City, UT",Jul 16,Aug 5,Jan 31,"Quantum computation
Can take students who have just graduated","https://www.ias.edu/pcmi/programs/pcmi-2023-undergraduate-summer-school
https://www.mathprograms.org/db/programs/1366",2022/11/6
Brown University,"Providence, RI",Jun 5,Aug 4,Feb 1,Artificial Intelligence for Computational Creativity,https://aireu.cs.brown.edu/,2023/1/3
Brown University,"Providence, RI",Jun 5,Aug 4,Feb 1,"Dynamic Earth in the 21st Century:  Undergraduate research on the evolution of Earth’s interior, surface, and climate",https://deeps.brown.edu/leadership-alliance-reu,2022/10/31
Icahn School of Medicine,"New York, NY",Jun 5,Aug 11,Feb 1,Summer Research Training Program in Biomedical Big Data Science,https://labs.icahn.mssm.edu/maayanlab/summer-research-program/,2022/10/31
Leadership Alliance,Varies,Varies,Varies,Feb 1,"Summer Research Early Identification Program (SR-EIP) is a fully paid summer internship that provides undergraduates with training and mentoring in the principles underlying the conduct of research and prepares them to pursue competitive applications to PhD or MD-PhD programs.
Particularly targeted to under-represented groups",https://theleadershipalliance.org/summer-research-early-identification-program,2022/10/31
NIST,,,,Feb 1,SURF (Summer Undergraduate Research Fellowship),https://www.nist.gov/surf,2022/11/6
Northwestern University (CIERA),"Evanston, IL",Jun 18,Aug 26,Feb 1,Astrophysics,"https://sites.northwestern.edu/cierareu/
https://academicjobsonline.org/ajo/jobs/23766",2022/12/13
Ohio State University,"Columbus, OH",~ Jun 5,~ Aug 11,Feb 1,"Research Opportunities in Mathematics for Undergraduate Students (ROMUS). Topics include analysis of PDEs/mathematical finance, ergodic theory and dynamical systems, computational mathematics, algebra and logic, and quantum algebra, category theory, and operator algebras",https://www.mathprograms.org/db/programs/1384,2022/12/7
Rosetta Commons REU,Varies,Jun 5,Aug 11,Feb 1,"Interns in this geographically-distributed REU program have the opportunity to participate in research using the Rosetta Commons software. The Rosetta Commons software suite includes algorithms for computational modeling and analysis of protein structures. It has enabled notable scientific advances in computational biology, including de novo protein design, enzyme design, ligand docking, and structure prediction of biological macromolecules and macromolecular complexes. ",https://www.rosettacommons.org/about/intern,2022/10/31
